"suite"	"fid"	"iid"	"run_id"	"dimensions"	"cluster"	"disp.ratio_mean_02"	"disp.ratio_mean_05"	"disp.ratio_mean_10"	"disp.ratio_mean_25"	"disp.ratio_median_02"	"disp.ratio_median_05"	"disp.ratio_median_10"	"disp.ratio_median_25"	"disp.diff_mean_02"	"disp.diff_mean_05"	"disp.diff_mean_10"	"disp.diff_mean_25"	"disp.diff_median_02"	"disp.diff_median_05"	"disp.diff_median_10"	"disp.diff_median_25"	"ela_meta.lin_simple.adj_r2"	"ela_meta.lin_simple.intercept"	"ela_meta.lin_simple.coef.min"	"ela_meta.lin_simple.coef.max"	"ela_meta.lin_simple.coef.max_by_min"	"ela_meta.lin_w_interact.adj_r2"	"ela_meta.quad_simple.adj_r2"	"ela_meta.quad_simple.cond"	"ela_meta.quad_w_interact.adj_r2"	"ela_level.mmce_lda_10"	"ela_level.mmce_qda_10"	"ela_level.mmce_mda_10"	"ela_level.lda_qda_10"	"ela_level.lda_mda_10"	"ela_level.qda_mda_10"	"ela_level.mmce_lda_25"	"ela_level.mmce_qda_25"	"ela_level.mmce_mda_25"	"ela_level.lda_qda_25"	"ela_level.lda_mda_25"	"ela_level.qda_mda_25"	"ela_level.mmce_lda_50"	"ela_level.mmce_qda_50"	"ela_level.mmce_mda_50"	"ela_level.lda_qda_50"	"ela_level.lda_mda_50"	"ela_level.qda_mda_50"	"ela_distr.skewness"	"ela_distr.kurtosis"	"ela_distr.number_of_peaks"	"ic.h.max"	"ic.eps.max"	"ic.eps.ratio"	"ic.m0"	"nbc.nn_nb.sd_ratio"	"nbc.nn_nb.mean_ratio"	"nbc.nn_nb.cor"	"nbc.dist_ratio.coeff_var"	"nbc.nb_fitness.cor"	"pca.expl_var.cov_x"	"pca.expl_var.cor_x"	"pca.expl_var.cov_init"	"pca.expl_var.cor_init"	"pca.expl_var_PC1.cov_x"	"pca.expl_var_PC1.cor_x"	"pca.expl_var_PC1.cov_init"	"pca.expl_var_PC1.cor_init"	"labels"
"36"	"bbob"	8	1	15.5	10	3	0.65485	0.7188	0.7719	0.8497	0.6536	0.71885	0.77275	0.85095	-4.3716	-3.56205	-2.88945	-1.9037	-4.39445	-3.5671	-2.88405	-1.89145	0.55015	275360.2111	1603.40115	38944.8803	23.8	0.56645	0.92055	103.04415	0.99365	0.09385	0.0685	0.0885	1.3867	1.06075	0.7678	0.1882	0.1309	0.1702	1.445	1.11155	0.77045	0.2278	0.1638	0.197	1.386	1.154	0.8354	0.9422	0.5791	1	0.82565	11195.6432	4.3193	0.5663	0.1173	0.9676	0.1011	0.06095	-0.39925	0.9	0.9	0.0909	0.9091	0.1206	0.1206	1	0.1597	5
"37"	"bbob"	8	2	15.5	10	2	0.6663	0.72915	0.782	0.8581	0.66405	0.7287	0.7824	0.85905	-4.2269	-3.4314	-2.76115	-1.79745	-4.26345	-3.4424	-2.76075	-1.7887	0.6063	369768.4336	894.4698	46469.37045	50.98035	0.6213	0.9372	113.33415	0.9964	0.0885	0.0614	0.0816	1.4385	1.07975	0.74865	0.1682	0.1133	0.145	1.4978	1.15445	0.7758	0.21105	0.1517	0.184	1.3808	1.14725	0.82865	0.8591	0.5412	2.5	0.82025	14430.2717	4.4294	0.5583	0.1198	0.9667	0.108	0.0617	-0.39225	0.9	0.9	0.0909	0.8182	0.12135	0.12135	1	0.1631	4
"38"	"bbob"	8	3	15.5	10	2	0.66795	0.7318	0.78505	0.857	0.66635	0.7316	0.7855	0.85745	-4.20585	-3.39745	-2.72285	-1.8117	-4.23435	-3.4062	-2.72265	-1.80845	0.59405	409943.14915	2110.012	37883.8143	17.6529	0.6093	0.9347	102.4061	0.9967	0.08635	0.06035	0.0806	1.4374	1.07535	0.7499	0.16895	0.11655	0.1483	1.4539	1.14905	0.7845	0.2168	0.14965	0.18165	1.44615	1.19965	0.82885	0.7472	0.34125	1	0.8237	16188.5969	4.4795	0.5595	0.12555	0.9663	0.1158	0.0623	-0.4067	0.9	0.9	0.0909	0.8182	0.1201	0.1201	1	0.16105	1
"39"	"bbob"	8	4	15.5	10	3	0.6587	0.7215	0.7753	0.8502	0.65725	0.72065	0.77555	0.85145	-4.32285	-3.52735	-2.8459	-1.89755	-4.348	-3.5447	-2.8487	-1.8852	0.54035	299143.8652	933.04625	32320.6042	33.6786	0.5594	0.9116	67.85665	0.99405	0.0906	0.0648	0.08495	1.41355	1.05975	0.7551	0.1842	0.12615	0.1647	1.44935	1.10885	0.766	0.23335	0.1637	0.20405	1.4207	1.1378	0.79835	0.79435	0.43525	2	0.8279	12276.9105	4.3694	0.56355	0.12295	0.96745	0.1103	0.06095	-0.41405	0.9	0.9	0.0909	0.9091	0.1231	0.1231	1	0.1597	4
"40"	"bbob"	8	5	15.5	10	2	0.6614	0.72625	0.7787	0.85265	0.6601	0.72635	0.77945	0.8539	-4.2895	-3.46745	-2.80315	-1.86625	-4.3142	-3.4731	-2.79985	-1.8542	0.60025	309897.3915	1758.86955	29149.76305	16.18585	0.61655	0.92935	73.28465	0.9945	0.08675	0.0618	0.08085	1.40235	1.0694	0.76505	0.1763	0.1228	0.15865	1.43125	1.11095	0.7858	0.2127	0.15575	0.19235	1.38025	1.11555	0.8067	0.86955	0.77505	1	0.82875	12276.9105	4.3694	0.56285	0.121	0.9673	0.10525	0.06125	-0.4028	0.9	0.9	0.0909	0.8182	0.12055	0.12055	1	0.16435	9
"41"	"bbob"	9	1	15.5	10	22	0.69095	0.7377	0.7777	0.83875	0.6721	0.72465	0.7693	0.8369	-3.91475	-3.32275	-2.81645	-2.0429	-4.1615	-3.49485	-2.928	-2.0696	0.0458	182737.25185	554.13945	5908.4382	9.03325	0.17085	0.5783	1.54095	0.73765	0.1	0.0903	0.1	1.10725	1	0.9037	0.25	0.1864	0.2497	1.3413	1.00325	0.74745	0.42885	0.19025	0.3647	2.22665	1.1667	0.52605	2.1664	8.72485	2	0.8184	8107.9098	4.2292	0.5642	0.1266	0.971	0.1147	0.05685	-0.3989	0.9	0.9	0.0909	0.9091	0.11955	0.11955	1	0.1171	1
"42"	"bbob"	9	2	15.5	10	22	0.67805	0.72715	0.7694	0.83585	0.66445	0.7186	0.76415	0.8352	-4.0778	-3.4561	-2.92075	-2.07885	-4.25885	-3.5715	-2.99365	-2.09145	0.0528	178498.2769	272.27915	7592.27	28.37045	0.16925	0.5934	1.59315	0.7503	0.1	0.09255	0.1	1.08035	1	0.9256	0.25005	0.1888	0.25065	1.32505	0.99725	0.74955	0.42495	0.19355	0.36035	2.1796	1.17445	0.5364	2.1663	8.82345	2	0.8193	8107.9098	4.2092	0.5644	0.122	0.9709	0.1072	0.05675	-0.39955	0.9	0.9	0.0909	0.9091	0.1212	0.1212	1	0.11715	8
"43"	"bbob"	9	3	15.5	10	22	0.6889	0.7376	0.7769	0.838	0.67035	0.72395	0.76965	0.83675	-3.94045	-3.3245	-2.82625	-2.0522	-4.18455	-3.503	-2.9239	-2.0715	0.0484	183385.90075	352.8104	6955.10265	17.80805	0.1742	0.5731	1.4969	0.7292	0.1	0.08995	0.1	1.1119	1	0.89935	0.25	0.18725	0.24845	1.3351	1.00775	0.7598	0.4281	0.19275	0.36645	2.2268	1.16625	0.52625	2.1455	8.18555	3	0.81775	8490.4152	4.2292	0.56295	0.13595	0.97045	0.1187	0.05745	-0.39505	0.9	0.9	0.0909	0.9091	0.12125	0.12125	1	0.1153	7
"44"	"bbob"	9	4	15.5	10	22	0.6869	0.7369	0.7744	0.8372	0.66865	0.7241	0.76755	0.8358	-3.9662	-3.3331	-2.85795	-2.062	-4.20515	-3.50215	-2.9494	-2.08435	0.0511	177300.3371	292.0009	5962.93985	20.3103	0.18515	0.58445	1.34125	0.7583	0.1	0.09105	0.1	1.09815	1	0.9106	0.25	0.1864	0.2492	1.34095	1.003	0.7476	0.42545	0.19195	0.36125	2.21485	1.18155	0.5306	2.12995	8.22015	2	0.8181	8107.9098	4.2092	0.56495	0.122	0.97085	0.10655	0.05675	-0.4006	0.9	0.9	0.0909	0.9091	0.12195	0.12195	1	0.11655	2
"45"	"bbob"	9	5	15.5	10	22	0.6811	0.7267	0.7693	0.8345	0.6651	0.71665	0.7633	0.8341	-4.0392	-3.46155	-2.9225	-2.09675	-4.2493	-3.59555	-3.0037	-2.1053	0.0562	181797.17875	184.82975	7514.22515	42.4655	0.17625	0.59	1.7188	0.747	0.1	0.09185	0.1	1.08915	1	0.91815	0.2501	0.18645	0.25015	1.34095	1.00025	0.74515	0.4199	0.1904	0.36045	2.214	1.16575	0.5266	2.2523	9.2355	2	0.81965	8490.4152	4.2292	0.56495	0.13755	0.97115	0.1296	0.05665	-0.3941	0.9	0.9	0.0909	0.9091	0.1208	0.1208	1	0.11905	4
"46"	"bbob"	10	1	15.5	10	9	0.8409	0.86845	0.8928	0.93105	0.8396	0.8669	0.89245	0.9306	-2.01475	-1.6662	-1.3578	-0.873	-2.0352	-1.6897	-1.36525	-0.8806	0.7695	24413848.9442	212042.7715	4036669.05225	19.3479	0.9622	0.79925	26.68025	0.9911	0.10645	0.0413	0.0964	2.57315	1.0996	0.43165	0.13095	0.06125	0.08175	2.16425	1.5438	0.72945	0.06575	0.0517	0.0571	1.2862	1.17	0.89485	1.47925	2.44845	10	0.78095	709334.1205	6.1512	0.5267	0.0794	0.9517	0.0816	0.08105	-0.2803	0.9	0.9	0.0909	0.8182	0.1204	0.1204	1	0.1716	1
"47"	"bbob"	10	2	15.5	10	9	0.85625	0.87965	0.89935	0.9297	0.8521	0.87835	0.8985	0.9292	-1.8206	-1.5247	-1.27515	-0.8903	-1.8767	-1.5438	-1.2884	-0.89835	0.7193	21441475.94225	733972.79565	3090770.0138	4.2624	0.95425	0.7574	24.5244	0.9916	0.11755	0.04675	0.1081	2.49865	1.08065	0.4262	0.1687	0.06745	0.10185	2.52985	1.6553	0.6635	0.08525	0.06445	0.06585	1.3175	1.27825	0.97575	1.6206	3.42735	11	0.7803	632289.76295	6.1311	0.53055	0.087	0.95165	0.08635	0.08115	-0.27765	0.9	0.9	0.0909	0.8182	0.11915	0.11915	1	0.16975	8
"48"	"bbob"	10	3	15.5	10	21	0.86905	0.89185	0.913	0.9384	0.86725	0.89145	0.91155	0.93755	-1.65895	-1.3703	-1.102	-0.78005	-1.6844	-1.37765	-1.1235	-0.7922	0.39625	13760132.22695	54863.9424	1955567.592	35.3419	0.9161	0.47735	45.0783	0.9942	0.1035	0.058	0.1049	1.7816	0.98535	0.5538	0.28905	0.0913	0.1169	3.18345	2.48565	0.77565	0.2397	0.06555	0.08955	3.67795	2.6934	0.7287	2.0864	5.3109	7	0.7878	447353.3054	6.011	0.5438	0.08415	0.9525	0.0801	0.08075	-0.28515	0.9	0.9	0.0909	0.9091	0.11965	0.11965	1	0.1499	7
"49"	"bbob"	10	4	15.5	10	9	0.8362	0.8599	0.8841	0.9241	0.83305	0.8589	0.88175	0.92315	-2.07525	-1.7742	-1.4682	-0.96125	-2.1188	-1.7903	-1.5008	-0.9755	0.78425	30510201.9025	93119.21515	5313528.62135	56.98895	0.96325	0.8065	28.7761	0.98985	0.0934	0.0341	0.08505	2.76325	1.11105	0.4005	0.06045	0.04565	0.0513	1.30575	1.1759	0.87695	0.0339	0.0313	0.0344	1.1029	0.97605	0.90415	2.0846	5.96365	8	0.7748	852964.45	6.2312	0.5245	0.0814	0.95045	0.08325	0.0824	-0.2683	0.9	0.9	0.0909	0.8182	0.1198	0.1198	1	0.1726	4
"50"	"bbob"	10	5	15.5	10	21	0.8588	0.8896	0.912	0.9397	0.85705	0.88745	0.91175	0.93895	-1.7884	-1.39855	-1.1147	-0.7636	-1.8144	-1.42895	-1.1198	-0.77465	0.0892	12388560.2356	39023.37105	625503.27085	15.9951	0.90135	0.18665	28.7961	0.99495	0.1038	0.05645	0.1033	1.84375	1.006	0.5413	0.26955	0.09245	0.11095	2.91365	2.4337	0.84725	0.3628	0.0678	0.0859	5.38215	4.2291	0.7779	2.1758	7.29665	6	0.79645	447353.3054	5.971	0.5434	0.0897	0.95325	0.08645	0.08045	-0.3102	0.9	0.9	0.0909	0.9091	0.12065	0.12065	1	0.1221	3
"51"	"bbob"	11	1	15.5	10	24	0.9741	0.97365	0.97485	0.97555	0.97465	0.97385	0.97435	0.9755	-0.32815	-0.33385	-0.31845	-0.3101	-0.3216	-0.3317	-0.32575	-0.31065	0.06755	8448250.25685	28804.4485	623207.5086	21.7905	0.84985	0.21415	119.9295	0.9962	0.1	0.0508	0.1	1.96805	1	0.5081	0.25	0.0788	0.08365	3.1746	2.98745	0.9322	0.416	0.0631	0.03805	6.6264	11.00495	1.6485	2.22725	6.13775	15.5	0.77205	355263.4677	5.9309	0.55875	0.05705	0.9394	0.05615	0.09825	-0.28155	0.9	0.9	0.0909	0.9091	0.11975	0.11975	1	0.11805	5
"52"	"bbob"	11	2	15.5	10	24	0.9709	0.9707	0.96985	0.97275	0.97055	0.971	0.96995	0.9729	-0.3682	-0.3715	-0.3823	-0.3455	-0.3737	-0.368	-0.3818	-0.3443	0.01805	8278599.15985	13235.0937	290443.5979	22.8781	0.866	0.1431	106.6806	0.9962	0.1	0.04965	0.1	2.01515	1	0.49625	0.25	0.077	0.07405	3.2468	3.37565	1.02585	0.47675	0.05715	0.0344	8.3447	14.0243	1.71915	2.22175	6.1995	14.5	0.77295	355263.4677	5.9209	0.5597	0.0613	0.939	0.05905	0.0989	-0.28025	0.9	0.9	0.0909	0.9091	0.1202	0.1202	1	0.1111	1
"53"	"bbob"	11	3	15.5	10	21	0.95705	0.958	0.9595	0.9634	0.95835	0.9582	0.9601	0.96345	-0.5442	-0.53145	-0.51305	-0.4636	-0.52855	-0.53015	-0.50595	-0.46375	0.52625	12257016.63415	130533.83735	2458327.5634	19.76015	0.9397	0.57765	94.5116	0.9937	0.10005	0.04745	0.1002	2.10935	1	0.47295	0.3492	0.07015	0.13585	4.97865	2.5672	0.5074	0.1201	0.0565	0.07775	2.1395	1.4869	0.72595	2.0852	4.8079	14	0.7596	389574.5616	5.991	0.54855	0.05675	0.94025	0.06495	0.0967	-0.2487	0.9	0.9	0.0909	0.9091	0.121	0.121	1	0.15945	4
"54"	"bbob"	11	4	15.5	10	1	0.95475	0.95525	0.9545	0.95705	0.95515	0.9559	0.95535	0.9574	-0.57325	-0.5665	-0.57655	-0.5441	-0.5689	-0.55955	-0.56685	-0.5405	0.60235	13721665.4717	63044.04265	2649730.93515	42.7673	0.95915	0.63615	65.9975	0.993	0.10225	0.04615	0.10205	2.2313	1.0018	0.4502	0.3371	0.0648	0.14915	5.2208	2.20565	0.42805	0.0795	0.0608	0.0723	1.26795	1.0966	0.82755	1.94765	4.21365	14	0.7588	407953.4503	6.031	0.54725	0.06455	0.9409	0.0728	0.09565	-0.2491	0.9	0.9	0.0909	0.8182	0.1218	0.1218	1	0.16365	8
"55"	"bbob"	11	5	15.5	10	24	0.9746	0.97415	0.97475	0.97495	0.97415	0.9745	0.97505	0.9752	-0.32215	-0.3279	-0.31975	-0.3174	-0.3278	-0.3235	-0.3167	-0.3142	0.0262	8363147.083	22782.1262	391267.87975	16.22095	0.88845	0.14145	73.9693	0.99575	0.1	0.0498	0.1	2.0076	1	0.4981	0.25	0.07745	0.0828	3.2284	3.0211	0.91755	0.4245	0.05395	0.03235	7.8247	13.1177	1.68945	2.31685	7.5846	14	0.77205	355263.4677	5.9209	0.55995	0.06285	0.9387	0.06165	0.0992	-0.2758	0.9	0.9	0.0909	0.9091	0.1187	0.1187	1	0.1127	10
"56"	"bbob"	12	1	15.5	10	13	0.6688	0.73325	0.78655	0.86835	0.66615	0.73275	0.7864	0.86915	-4.19615	-3.37865	-2.7035	-1.66765	-4.2367	-3.39015	-2.7098	-1.66005	0.13995	939186742.75875	5876616.0901	234898126.3497	40.81625	0.3367	0.19075	7.0852	0.4799	0.09685	0.06545	0.09005	1.48195	1.07275	0.72235	0.1638	0.1138	0.13995	1.42805	1.1662	0.80855	0.1865	0.1294	0.14085	1.46095	1.33545	0.9215	15.02225	346.0931	26.5	0.72335	7796360.1304	7.5526	0.5389	0.10895	0.9654	0.1022	0.06305	-0.13495	0.9	0.9	0.0909	0.9091	0.12045	0.12045	1	0.1266	1
"57"	"bbob"	12	2	15.5	10	10	0.67775	0.74875	0.80565	0.8879	0.6771	0.74735	0.8059	0.888	-4.0823	-3.18315	-2.46165	-1.42015	-4.09925	-3.2071	-2.4631	-1.42105	0.3214	1236664874.60565	40209419.09985	265748519.32555	7.03635	0.60805	0.37555	12.38705	0.7256	0.0846	0.05805	0.0783	1.46465	1.08745	0.73935	0.13425	0.09515	0.11635	1.40605	1.1584	0.82155	0.141	0.10755	0.11485	1.3141	1.2229	0.9281	7.9604	105.22875	8	0.71265	15566543.5927	7.7728	0.5307	0.1047	0.9616	0.0995	0.06755	-0.17665	0.9	0.9	0.0909	0.9091	0.121	0.121	1	0.1446	10
"58"	"bbob"	12	3	15.5	10	13	0.70115	0.76635	0.81835	0.8969	0.6991	0.7661	0.8188	0.8969	-3.7849	-2.95965	-2.3009	-1.30605	-3.81675	-2.9692	-2.29995	-1.3082	0.1591	5287403653.20575	253960215.56715	1758870921.06315	6.3157	0.41865	0.19065	34.6136	0.54205	0.0754	0.04925	0.0694	1.53745	1.0891	0.71	0.11605	0.0771	0.08825	1.50075	1.307	0.86835	0.1335	0.0931	0.09665	1.42065	1.3564	0.9586	15.83545	385.3982	43	0.66675	11019385.88275	8.033	0.52845	0.10615	0.96035	0.10495	0.06925	-0.1052	0.9	0.9	0.0909	0.9091	0.11975	0.11975	1	0.12825	7
"59"	"bbob"	12	4	15.5	10	13	0.6766	0.74635	0.80305	0.88475	0.67475	0.74465	0.80205	0.88455	-4.0971	-3.2133	-2.49445	-1.45955	-4.12875	-3.241	-2.51165	-1.4648	0.14535	3414615023.3248	64429050.92515	1034823836.0544	16.6006	0.38485	0.17715	29.1446	0.5181	0.08805	0.06145	0.0818	1.44365	1.0813	0.7462	0.153	0.10705	0.133	1.4609	1.16285	0.8021	0.1585	0.11385	0.1243	1.3803	1.2395	0.9022	16.5701	422.161	46	0.6897	9375015.0151	7.8529	0.53455	0.1039	0.962	0.09775	0.0671	-0.1049	0.9	0.9	0.0909	0.9091	0.1219	0.1219	1	0.1294	1
"60"	"bbob"	12	5	15.5	10	13	0.67595	0.7461	0.80285	0.8807	0.6759	0.74605	0.80275	0.88065	-4.10455	-3.21685	-2.49705	-1.5115	-4.11265	-3.22255	-2.5028	-1.5143	0.1176	1640357526.4548	12402050.27515	432582652.91015	34.76015	0.3178	0.1602	5.7366	0.4585	0.08455	0.05975	0.07815	1.4287	1.08535	0.7575	0.16745	0.11285	0.1408	1.48745	1.1864	0.8005	0.2151	0.1411	0.154	1.5227	1.38055	0.90705	15.53005	404.74235	32	0.7162	12362095.4374	7.7928	0.5406	0.10665	0.9634	0.10535	0.06555	-0.1274	0.9	0.9	0.0909	0.9091	0.1205	0.1205	1	0.12445	2
"61"	"bbob"	13	1	15.5	10	9	0.6865	0.75045	0.80335	0.87325	0.68145	0.74745	0.8015	0.87305	-3.97165	-3.16145	-2.49125	-1.60565	-4.0434	-3.206	-2.52045	-1.6121	0.78105	2405.9593	5.8383	100.43845	17.0927	0.868	0.9034	3.4535	0.9959	0.07885	0.0458	0.07185	1.718	1.0979	0.641	0.1348	0.08175	0.11215	1.6433	1.2094	0.7357	0.142	0.0953	0.118	1.48565	1.19275	0.80175	0.2115	-0.0859	1	0.8313	33.6145	1.7467	0.5293	0.10565	0.96685	0.1109	0.06165	-0.36645	0.9	0.9	0.0909	0.8182	0.12065	0.12065	0.9998	0.17325	8
"62"	"bbob"	13	2	15.5	10	9	0.70265	0.76765	0.81465	0.88325	0.69735	0.76565	0.81275	0.8823	-3.76635	-2.9432	-2.34835	-1.4794	-3.8393	-2.9733	-2.377	-1.49385	0.8417	2533.8543	6.47805	126.96725	19.681	0.9091	0.922	2.1727	0.996	0.07505	0.04405	0.06735	1.7304	1.1142	0.6433	0.1186	0.0735	0.0989	1.60575	1.2072	0.75245	0.1163	0.08405	0.10195	1.3922	1.13505	0.81185	0.2223	-0.17975	1	0.8305	36.861	1.7868	0.5264	0.10925	0.96425	0.10285	0.06505	-0.35625	0.9	0.9	0.0909	0.8182	0.12085	0.12085	0.9998	0.17615	7
"63"	"bbob"	13	3	15.5	10	3	0.6906	0.75055	0.79975	0.8658	0.6859	0.7459	0.7964	0.865	-3.91975	-3.16005	-2.5369	-1.69975	-3.98675	-3.22565	-2.58425	-1.7127	0.5163	1884.74515	6.62895	68.21195	10.4203	0.73905	0.7566	2.6261	0.9916	0.09525	0.059	0.08795	1.60355	1.0889	0.6746	0.1954	0.10395	0.15705	1.8883	1.24975	0.6657	0.2361	0.12185	0.1807	1.9223	1.3022	0.6767	0.1873	0.06535	1	0.8383	30.654	1.7067	0.5444	0.12425	0.9688	0.1153	0.0593	-0.40855	0.9	0.9	0.0909	0.9091	0.12165	0.12165	0.9996	0.158	4
"64"	"bbob"	13	4	15.5	10	3	0.6917	0.75315	0.79995	0.86535	0.68735	0.7497	0.79695	0.8642	-3.90515	-3.1272	-2.53395	-1.70535	-3.9676	-3.17675	-2.57635	-1.72365	0.4992	3034.9147	1.3438	71.95365	52.15645	0.73225	0.75375	2.87585	0.9909	0.09465	0.05765	0.0867	1.61625	1.09155	0.67105	0.1998	0.1056	0.15485	1.8642	1.27485	0.67565	0.24435	0.12625	0.1846	1.94005	1.30215	0.6779	0.1555	0.07405	1	0.8369	30.654	1.7067	0.54355	0.1332	0.9685	0.1233	0.05965	-0.41125	0.9	0.9	0.0909	0.9091	0.12135	0.12135	0.9996	0.15685	4
"65"	"bbob"	13	5	15.5	10	3	0.68925	0.7441	0.78935	0.85895	0.68035	0.7367	0.78445	0.85805	-3.93685	-3.24125	-2.6679	-1.7862	-4.05485	-3.3409	-2.73505	-1.80125	0.46455	2070.00625	3.64265	55.4577	15.47035	0.6884	0.767	3.67295	0.99075	0.1033	0.06615	0.09855	1.5752	1.0487	0.6741	0.22145	0.11775	0.1777	1.87855	1.2381	0.65795	0.2498	0.12605	0.1857	1.96975	1.34845	0.6728	0.29245	0.1004	1	0.8392	32.1001	1.7267	0.54435	0.1249	0.9698	0.11225	0.05805	-0.4208	0.9	0.9	0.0909	0.9091	0.12	0.12	0.9996	0.15365	7
"66"	"bbob"	14	1	15.5	10	9	0.7323	0.79295	0.83945	0.9001	0.7255	0.78825	0.83695	0.89895	-3.39095	-2.62265	-2.03355	-1.26545	-3.4829	-2.6865	-2.0693	-1.2821	0.64185	143.593	1.1793	27.04525	22.9883	0.8635	0.7275	49.85765	0.9564	0.08145	0.04785	0.07285	1.6917	1.1135	0.6595	0.1378	0.0853	0.10895	1.607	1.26365	0.785	0.154	0.1045	0.11995	1.4836	1.30045	0.874	2.0635	6.124	6	0.77785	5.3177	1.0661	0.5326	0.0994	0.95965	0.0978	0.0702	-0.2892	0.9	0.9	0.0909	0.8182	0.1203	0.1203	0.9974	0.16445	7
"67"	"bbob"	14	2	15.5	10	9	0.73095	0.7957	0.8423	0.90345	0.72155	0.7893	0.8385	0.90245	-3.4081	-2.5876	-1.99725	-1.2227	-3.53465	-2.67415	-2.04905	-1.23765	0.58785	39.6689	1.28105	38.45365	29.59955	0.85645	0.6556	10.7365	0.93835	0.09115	0.0514	0.0815	1.7689	1.10915	0.629	0.15005	0.08715	0.1116	1.72745	1.35605	0.7875	0.15075	0.0926	0.0822	1.6402	1.8624	1.12315	2.07695	6.49585	8	0.7639	5.5686	1.1061	0.5332	0.1015	0.959	0.09515	0.07105	-0.2807	0.9	0.9	0.0909	0.8182	0.12135	0.12135	0.9982	0.1625	4
"68"	"bbob"	14	3	15.5	10	3	0.71635	0.78045	0.82935	0.8949	0.7082	0.7741	0.8253	0.89265	-3.5923	-2.781	-2.16185	-1.33065	-3.70325	-2.86625	-2.21645	-1.36195	0.43765	207.63025	0.77635	20.1289	25.65155	0.71685	0.59395	11.30515	0.9345	0.10195	0.0603	0.0947	1.6843	1.07395	0.63195	0.1915	0.103	0.15005	1.86245	1.2684	0.6764	0.22625	0.12195	0.1583	1.8557	1.4221	0.77595	2.0651	6.59425	5	0.788	3.8511	0.9259	0.54355	0.1102	0.96235	0.1031	0.06725	-0.31515	0.9	0.9	0.0909	0.9091	0.12055	0.12055	0.99335	0.1513	2
"69"	"bbob"	14	4	15.5	10	3	0.7268	0.7874	0.8338	0.8962	0.72085	0.78185	0.8295	0.89395	-3.46065	-2.6934	-2.10505	-1.3153	-3.5425	-2.7672	-2.16355	-1.3459	0.4176	185.5101	0.2396	18.56925	78.8973	0.7616	0.51765	8.2131	0.88355	0.09795	0.0568	0.0907	1.7271	1.0914	0.6363	0.1896	0.10205	0.1464	1.84515	1.2868	0.6964	0.2193	0.1225	0.1513	1.80955	1.47535	0.8089	2.94855	15.0968	4	0.7843	4.0328	0.9459	0.53855	0.1038	0.96185	0.09845	0.06785	-0.2889	0.9	0.9	0.0909	0.9091	0.12065	0.12065	0.9954	0.1508	3
"70"	"bbob"	14	5	15.5	10	9	0.7344	0.79485	0.8405	0.9008	0.72435	0.78855	0.8377	0.8994	-3.3643	-2.5989	-2.02045	-1.2571	-3.4984	-2.6833	-2.0599	-1.2765	0.57855	181.0626	1.34155	39.88075	29.05745	0.83665	0.661	30.71075	0.9464	0.0791	0.0491	0.07205	1.6066	1.09935	0.68	0.14235	0.087	0.113	1.63115	1.25305	0.7755	0.16515	0.10715	0.11685	1.54285	1.4046	0.92785	2.31785	7.4534	5	0.7755	5.5686	1.1061	0.53255	0.1079	0.95995	0.0997	0.0708	-0.2795	0.9	0.9	0.0909	0.8182	0.12125	0.12125	0.9984	0.1617	4
"71"	"bbob"	15	1	15.5	10	3	0.67745	0.74195	0.79095	0.8612	0.67495	0.74035	0.78945	0.86085	-4.08575	-3.26925	-2.6485	-1.758	-4.12575	-3.2953	-2.6725	-1.76645	0.4709	1975.0056	2.5161	89.4158	35.28335	0.64025	0.6639	3.41535	0.8763	0.09745	0.06605	0.0917	1.4698	1.06455	0.71965	0.1915	0.11755	0.1601	1.63065	1.2092	0.7428	0.21055	0.1407	0.1762	1.48275	1.1865	0.7987	2.3807	10.5271	3	0.80735	23.247	1.6867	0.54675	0.11715	0.9667	0.106	0.062	-0.3174	0.9	0.9	0.0909	0.9091	0.12	0.12	0.9998	0.1566	6
"72"	"bbob"	15	2	15.5	10	3	0.6988	0.75645	0.80625	0.87465	0.69535	0.7546	0.80515	0.8742	-3.8152	-3.08485	-2.4545	-1.58745	-3.8646	-3.11345	-2.4724	-1.59645	0.4547	1344.6405	2.1275	210.20175	102.42795	0.70655	0.5572	7.0085	0.8505	0.09115	0.0565	0.0837	1.63015	1.0902	0.6771	0.16875	0.10275	0.1372	1.6507	1.2296	0.74235	0.1779	0.12385	0.14915	1.42385	1.18845	0.8378	6.4755	114.7387	5	0.7912	25.4921	1.7467	0.53785	0.1084	0.9642	0.09845	0.065	-0.23755	0.9	0.9	0.0909	0.9091	0.1216	0.1216	1	0.15395	7
"73"	"bbob"	15	3	15.5	10	10	0.69435	0.76365	0.814	0.88505	0.69385	0.76105	0.81195	0.8845	-3.87155	-2.99405	-2.3558	-1.45635	-3.88615	-3.03205	-2.3863	-1.46555	0.48325	1941.1967	50.3092	364.7456	7.2322	0.70175	0.5513	8.7247	0.8186	0.0824	0.0527	0.07445	1.5666	1.10075	0.70475	0.14555	0.0959	0.12385	1.52535	1.18135	0.77645	0.13215	0.10425	0.1158	1.2597	1.1174	0.89565	6.9788	91.5204	3	0.7777	40.421	1.967	0.53235	0.10565	0.96185	0.09865	0.0672	-0.225	0.9	0.9	0.0909	0.9091	0.11965	0.11965	1	0.1548	3
